Open,High,Low,Close,Adj Close,Volume
116.02999877929688,117.83999633789062,115.51000213623047,116.86000061035156,116.86000061035156,20663900
117.55000305175781,119.66000366210938,117.29000091552734,118.69000244140625,118.69000244140625,19630900
118.86000061035156,120.94999694824219,118.31999969482422,120.66999816894531,120.66999816894531,19492200
120.9800033569336,123.87999725341797,120.02999877929688,123.41000366210938,123.41000366210938,28545300
123.55000305175781,125.43000030517578,123.04000091552734,124.9000015258789,124.9000015258789,22880400
124.81999969482422,125.5,124.27999877929688,124.3499984741211,124.3499984741211,17324600
124.3499984741211,126.12000274658203,124.05999755859375,126.08999633789062,126.08999633789062,18356500
125.61000061035156,126.7300033569336,124.80000305175781,126.62000274658203,126.62000274658203,18653900
127.48999786376953,129.27000427246094,127.37000274658203,128.33999633789062,128.33999633789062,24884300
128.0399932861328,128.33999633789062,127.4000015258789,127.87000274658203,127.87000274658203,15294500
128.41000366210938,128.42999267578125,126.83999633789062,127.91999816894531,127.91999816894531,13145900
128.22999572753906,128.35000610351562,127.44999694824219,127.55000305175781,127.55000305175781,12195500
128.10000610351562,128.47999572753906,126.77999877929688,127.04000091552734,127.04000091552734,19097200
127.30999755859375,129.25,126.94999694824219,128.92999267578125,128.92999267578125,16593600
129.3800048828125,129.89999389648438,128.3800048828125,129.3699951171875,129.3699951171875,15162700
130.0,131.74000549316406,129.77000427246094,131.47999572753906,131.47999572753906,18731300
131.6300048828125,133.13999938964844,131.44000244140625,132.77999877929688,132.77999877929688,20020100
132.67999267578125,132.9499969482422,131.0800018310547,132.17999267578125,132.17999267578125,19539500
131.5800018310547,131.5800018310547,129.60000610351562,130.97999572753906,130.97999572753906,18956100
130.1699981689453,130.66000366210938,129.52000427246094,130.32000732421875,130.32000732421875,19790500
132.25,133.49000549316406,130.67999267578125,133.22999572753906,133.22999572753906,50139800
133.22000122070312,135.49000549316406,130.39999389648438,130.83999633789062,130.83999633789062,54366400
131.24000549316406,132.85000610351562,130.75999450683594,130.97999572753906,130.97999572753906,24804900
130.97999572753906,132.05999755859375,130.3000030517578,132.05999755859375,132.05999755859375,17058500
132.24000549316406,133.0,131.66000366210938,131.83999633789062,131.83999633789062,14596400
132.60000610351562,134.44000244140625,132.44000244140625,134.1999969482422,134.1999969482422,22390600
134.49000549316406,134.5,133.30999755859375,134.13999938964844,134.13999938964844,16470600
134.10000610351562,134.94000244140625,133.67999267578125,134.19000244140625,134.19000244140625,15061900
134.6999969482422,134.6999969482422,133.6999969482422,134.0500030517578,134.0500030517578,13526200
134.10000610351562,134.22999572753906,132.5500030517578,133.85000610351562,133.85000610351562,14364900
133.4499969482422,133.6999969482422,132.66000366210938,133.44000244140625,133.44000244140625,13226500
133.07000732421875,133.8699951171875,133.02000427246094,133.83999633789062,133.83999633789062,12831100
133.5,134.08999633789062,133.1699981689453,133.52999877929688,133.52999877929688,12276500
133.5,133.91000366210938,132.89999389648438,133.72000122070312,133.72000122070312,14759100
133.60000610351562,136.7899932861328,133.4600067138672,136.1199951171875,136.1199951171875,27360100
135.88999938964844,136.1199951171875,134.3300018310547,135.36000061035156,135.36000061035156,18422500
134.16000366210938,135.6199951171875,134.16000366210938,135.44000244140625,135.44000244140625,12625700
135.25999450683594,137.17999267578125,135.02000427246094,136.41000366210938,136.41000366210938,14306700
136.7899932861328,136.80999755859375,134.75,135.5399932861328,135.5399932861328,16112100
136.47000122070312,137.47999572753906,136.3000030517578,137.4199981689453,137.4199981689453,16257000
137.08999633789062,137.82000732421875,136.30999755859375,136.75999450683594,136.75999450683594,12294800
136.6300048828125,137.3300018310547,136.0800018310547,137.1699981689453,137.1699981689453,11160600
136.8800048828125,137.8300018310547,136.50999450683594,137.4199981689453,137.4199981689453,12748200
137.02999877929688,138.3699951171875,136.99000549316406,137.3000030517578,137.3000030517578,13527100
137.14999389648438,137.99000549316406,137.0500030517578,137.72000122070312,137.72000122070312,10184500
137.72000122070312,138.57000732421875,137.39999389648438,138.24000549316406,138.24000549316406,15535300
138.91000366210938,139.49000549316406,138.22000122070312,138.7899932861328,138.7899932861328,16314100
138.7100067138672,139.67999267578125,138.6699981689453,139.60000610351562,139.60000610351562,10955500
139.4600067138672,139.4600067138672,138.52000427246094,139.32000732421875,139.32000732421875,12944000
139.2899932861328,140.10000610351562,138.49000549316406,139.72000122070312,139.72000122070312,19344800
140.1999969482422,140.25,139.72999572753906,139.99000549316406,139.99000549316406,13612900
140.33999633789062,140.33999633789062,139.6999969482422,139.83999633789062,139.83999633789062,20592800
139.7100067138672,140.19000244140625,139.25,139.94000244140625,139.94000244140625,12099500
141.14999389648438,142.30999755859375,138.39999389648438,138.50999450683594,138.50999450683594,29894800
137.92999267578125,139.7899932861328,137.60000610351562,139.58999633789062,139.58999633789062,17055400
139.47999572753906,140.38999938964844,139.08999633789062,139.52999877929688,139.52999877929688,13022800
140.0800018310547,141.02000427246094,139.75999450683594,140.33999633789062,140.33999633789062,16664700
139.0500030517578,140.64999389648438,138.77000427246094,140.32000732421875,140.32000732421875,12800500
140.36000061035156,141.9499969482422,140.00999450683594,141.75999450683594,141.75999450683594,14679400
141.99000549316406,142.86000061035156,141.42999267578125,142.64999389648438,142.64999389648438,16527600
142.39999389648438,142.9499969482422,141.85000610351562,142.41000366210938,142.41000366210938,12404000
142.30999755859375,142.6300048828125,141.88999938964844,142.0500030517578,142.0500030517578,11478300
141.92999267578125,142.47000122070312,140.82000732421875,142.27999877929688,142.27999877929688,13564000
141.86000061035156,142.08999633789062,141.27000427246094,141.72999572753906,141.72999572753906,12948600
